col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,SOM_id
3,6,3,4,3,8,6,5,9,12,9,13,49,40,52,38,15,18,7,6,10,2,8,5,6,4,4,1,6,2,2,6,5,8,9,4,13,11,13,8,2,27,24,16,15,32,18,9,8,5,3,6,9,4,6,9,6,12,8,9,3,8,17,11,12,13,12,17,9,13,2,2,6,7,6,1,11,3,7,8,5,9,6,7,5,1,3,4,7,6,4,10,4,6,7,8,42,11,9,5,4,9,0,1,2,4,4,9,3,4,4,2,7,3,1,8,3,7,4,5,5,2,10,10,3,1,1,7,3,4,2,2,3,2,2,4,0,3,5,3,5,13,3,3,1,3,1
4,2,3,2,2,6,5,5,14,8,3,12,48,39,42,35,16,14,5,1,11,6,19,6,6,4,4,4,6,4,0,6,5,11,8,5,6,11,6,7,3,24,22,11,13,17,10,12,10,1,7,12,11,4,4,10,3,5,4,7,1,3,12,8,14,11,10,9,6,8,5,5,5,6,8,5,13,4,13,10,8,6,3,8,4,1,5,1,11,4,3,6,4,5,2,7,27,11,6,3,1,4,0,1,3,2,2,4,2,3,3,2,5,3,2,4,6,3,5,6,2,3,7,9,3,1,0,6,3,3,1,4,4,3,1,6,1,4,4,2,7,8,0,6,1,3,1
2,5,2,1,5,5,6,3,13,13,3,10,50,36,52,37,22,15,6,5,10,4,7,4,6,7,1,1,4,3,0,3,4,9,16,8,8,11,12,6,8,37,23,13,13,27,11,7,5,7,2,4,10,7,7,12,6,9,8,8,6,10,24,12,9,16,13,16,7,11,8,3,7,7,8,11,22,3,17,9,8,4,3,8,3,1,3,0,6,2,3,9,1,3,6,9,46,13,14,5,1,7,1,2,3,4,4,4,3,2,9,4,4,3,1,3,3,4,4,2,1,2,9,9,2,1,1,2,0,1,2,2,2,3,2,4,0,2,0,4,13,12,3,0,0,1,1
0,3,8,0,1,1,0,0,1,0,3,7,39,27,35,26,3,0,3,0,5,0,0,2,0,2,3,0,1,1,2,1,0,0,2,2,0,1,4,2,1,0,4,2,2,5,1,3,2,2,1,3,0,3,3,0,1,0,0,4,0,2,2,0,1,1,2,1,7,1,2,1,1,0,0,1,0,0,0,1,0,0,3,0,1,1,0,0,1,1,1,2,0,2,2,2,2,0,2,4,3,0,0,0,0,1,2,0,3,1,1,0,1,1,1,2,1,0,1,2,1,2,2,1,0,2,0,1,2,0,1,0,0,1,0,0,1,1,3,1,0,1,0,0,1,1,2
1,2,3,5,1,2,0,0,2,0,3,6,38,27,35,27,5,0,1,3,5,0,1,2,1,0,0,1,0,2,0,0,0,1,2,0,1,2,4,1,2,0,1,10,8,5,1,2,1,1,1,1,1,1,0,3,1,4,2,3,0,1,1,2,1,3,3,1,6,5,1,1,1,0,0,0,1,1,0,0,0,0,6,0,3,1,0,1,0,0,0,1,0,1,1,1,0,1,1,2,3,0,0,3,1,1,1,0,1,0,0,0,1,3,2,2,5,2,3,3,1,0,1,2,0,2,0,1,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,1,0,2,2
0,4,7,1,0,2,1,1,2,2,4,5,38,34,37,30,8,3,1,6,10,2,1,2,1,9,7,2,0,3,1,7,1,5,4,1,3,5,0,0,1,4,2,1,3,2,0,0,1,0,2,0,2,2,6,0,1,1,0,1,2,0,1,0,4,4,3,3,9,6,1,4,2,1,1,0,2,1,4,3,3,2,1,2,1,0,2,2,3,2,3,1,3,1,2,2,1,0,2,1,2,2,0,3,1,2,2,2,1,2,3,0,2,2,0,2,3,0,4,5,1,1,0,2,2,0,1,0,3,0,3,2,0,0,0,1,0,6,1,2,2,2,0,2,1,1,2
1,7,5,2,4,0,2,0,5,1,0,4,37,30,36,26,3,3,2,10,14,2,1,0,3,6,0,1,3,2,1,1,5,3,2,0,4,4,4,2,2,3,0,1,0,1,0,0,1,4,2,2,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,1,3,1,0,6,1,0,2,2,0,0,1,0,0,2,0,1,1,4,2,1,2,0,0,0,2,1,3,0,0,0,0,4,3,1,0,2,2,1,1,2,0,1,2,1,5,0,0,0,1,0,2,0,2,3,0,2,0,1,0,0,1,2,0,1,1,1,0,1,0,0,0,1,1,0,0,2,1,1,2
0,8,11,5,3,0,1,3,5,2,5,5,48,31,38,27,5,4,4,10,10,2,4,3,4,1,2,1,0,0,1,3,0,0,0,0,2,1,1,1,2,1,3,1,0,1,4,2,3,2,0,3,2,3,1,2,0,2,1,1,3,1,5,6,6,6,5,2,7,0,2,5,2,2,0,0,1,3,1,1,0,1,0,4,1,8,3,4,4,1,0,2,6,1,7,1,3,4,0,3,6,3,5,5,3,2,0,1,2,2,4,1,7,4,2,1,3,0,3,4,1,1,3,1,0,1,0,0,4,0,0,0,0,1,1,3,3,12,0,1,1,2,1,6,4,4,2
1,5,2,2,4,5,2,0,0,0,5,5,40,32,40,27,7,4,3,1,2,0,1,1,4,4,1,0,0,2,2,2,0,3,1,2,3,6,0,1,3,4,4,3,2,1,4,1,0,2,1,1,1,2,7,4,3,2,0,0,2,1,0,1,3,3,3,2,7,10,1,5,1,0,1,2,0,0,1,1,1,0,1,0,0,2,0,2,2,4,5,2,4,3,1,1,0,0,0,1,1,0,2,3,1,4,2,1,0,5,3,3,0,2,0,1,3,0,3,3,0,2,1,1,2,1,1,0,1,1,0,0,0,0,1,0,1,0,2,0,0,2,0,2,1,2,2
1,7,6,3,0,0,1,0,2,1,1,5,37,27,37,26,2,3,1,3,3,0,2,3,6,6,2,0,4,2,1,0,5,3,1,0,3,6,3,2,1,4,1,2,2,4,0,5,1,1,2,2,0,1,0,1,0,2,0,0,0,0,4,0,0,0,2,1,2,2,0,1,0,0,3,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,2,3,0,0,2,2,0,0,2,2,2,0,0,0,3,0,0,1,1,2,1,2,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,2,2
